#    $1n      $2m      $3p   $4pMag $5pSpars $6-wcCost $7+wcCost  $8-tBook  $9+tBook  $10-tEst  $11+tEst $12+tFEst     $13-t     $14+t
       6       27       11        5        0  0.000000  0.000112  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.001000
      26      191       27       20        0  0.000095  0.000732  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.002000
      38      344       50       42        0  0.000468  0.000563  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.001000
      46      430       74       67        3  0.000468  0.000527  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.001000
      53      502       93       87        5  0.000378  0.000468  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.002000
      59      572      112      107        7  0.000399  0.000425  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.001000
      65      638      131      124        7  0.000399  0.000428  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.001000
      71      702      148      138        9  0.000399  0.000428  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.001000
      76      762      164      158       11  0.000399  0.000444  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.001000
      80      806      178      170       11  0.000399  0.000399  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.001000
      84      861      196      187       11  0.000399  0.000433  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.001000
      86      869      199      189       11  0.000403  0.000429  0.000000  0.000999  0.000000  0.000000  0.001000  0.000000  0.000999
      93      930      211      200       12  0.000401  0.000626  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.002000
     104     1054      227      220       14  0.000467  0.000619  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     115     1187      244      236       15  0.000426  0.000533  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.002000
     125     1292      261      253       17  0.000426  0.000519  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     133     1377      274      259       18  0.000438  0.000575  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     142     1485      290      284       20  0.000473  0.000623  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.002000
     149     1557      302      296       22  0.000441  0.000508  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     157     1645      318      307       23  0.000459  0.000534  0.000000  0.000999  0.000000  0.001000  0.000999  0.000000  0.001999
     165     1733      333      323       23  0.000483  0.000516  0.000000  0.001000  0.000000  0.001000  0.001000  0.000999  0.002000
     175     1842      348      339       25  0.000485  0.000534  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     183     1934      364      357       25  0.000471  0.000592  0.000000  0.001000  0.000000  0.001000  0.000999  0.000000  0.002000
     194     2042      381      375       26  0.000459  0.000552  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.001999
     202     2149      396      389       27  0.000514  0.000621  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.002000
     204     2168      399      394       28  0.000514  0.000565  0.000000  0.001000  0.000000  0.001000  0.000000  0.001000  0.001000
     211     2246      411      403       28  0.000521  0.000553  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.002000
     218     2319      425      418       29  0.000514  0.000608  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.002000
     225     2399      440      434       30  0.000514  0.000555  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     232     2474      452      445       31  0.000514  0.000571  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     242     2574      469      463       32  0.000514  0.000582  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     251     2670      486      478       33  0.000514  0.000534  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.002000
     259     2755      499      489       34  0.000524  0.000609  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     265     2849      515      506       35  0.000582  0.000585  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.002000
     269     2893      530      517       35  0.000576  0.000582  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.001000
     273     2933      545      532       37  0.000551  0.000601  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.002000
     279     3003      561      549       41  0.000545  0.000584  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.002000
     284     3058      574      566       43  0.000545  0.000565  0.000000  0.001000  0.000000  0.001000  0.000999  0.000000  0.002000
     288     3107      586      579       44  0.000545  0.000565  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.001000
     291     3154      598      592       45  0.000545  0.000545  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.001000
     291     3157      599      592       45  0.000545  0.000545  0.000000  0.000000  0.000000  0.000000  0.001000  0.000000  0.000000
     291     3167      611      601       45  0.000545  0.000545  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.001000
     297     3201      626      620       46  0.000545  0.000545  0.000000  0.001000  0.000000  0.001000  0.000000  0.000000  0.001000
     302     3249      640      633       46  0.000545  0.000574  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.001000
     307     3305      655      647       47  0.000545  0.000545  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.001000
     309     3351      668      657       47  0.000545  0.000563  0.000000  0.001000  0.000000  0.001000  0.000000  0.000999  0.002000
     309     3355      681      671       48  0.000545  0.000545  0.000000  0.001000  0.000000  0.001000  0.001000  0.000000  0.001000
